Rank	Swim Time	Name	Foreign	Age	Event	LSC	Team	Meet	Time Standard
143	2:13.27	Micah Davis		15	200 FL LCM	MN	St Cloud YMCA Swim Team	2023 MN WOLF Huff n Puff Invite	2020-2024 AAA
144	2:13.30	Charlie Hayden		15	200 FL LCM	FL	Patriot Aquatics	2023 FL Summer Senior Championships	2020-2024 AAA
145	2:13.31	Jamesyn Samples		15	200 FL LCM	OZ	Saluki Swim Club	2023 MV CSC Region VIII Sectional Championships	2020-2024 AAA
145	2:13.31	Brayden Todd		15	200 FL LCM	MA	York YMCA	2023 MD NBAC SPRING LONG COURSE MEET	2020-2024 AAA
147	2:13.33	Preston Zuber		15	200 FL LCM	MV	Tsunami Swim Team of K.C.	2023 MV EKC Rose Memorial	2020-2024 AAA
148	2:13.36	Alex Nixon		15	200 FL LCM	OHO	Cincinnati Marlins	2023 OH Central Zone LC East Sectional	2020-2024 AAA
148	2:13.36	Ethan Lee		15	200 FL LCM	PV	Rockville Montgomery Swim Club	2023 NI Eastern Zone Senior Championships	2020-2024 AAA
148	2:13.36	Zach Tower		15	200 FL LCM	CA	TSM Aquatics	2023 Futures - Sacramento, CA	2020-2024 AAA
151	2:13.38	Sebastian Wrona		15	200 FL LCM	UT	Olympus Aquatics	2023 AZ SAC Cactus Classic	2020-2024 AAA
152	2:13.40	Dylan Moen		15	200 FL LCM	CA	CCAT Swimming	2023 CA SCS/CANY June Age Group Invite	2020-2024 AAA
153	2:13.41	Nathan Garcia		15	200 FL LCM	GU	North Channel Aquatics	2023 MS Southern Zone Senior Championships	2020-2024 AAA
153	2:13.41	Keeno Usita		15	200 FL LCM	CA	Unattached	2023 CA TYR Fran Crippen Swim Meet of Champions at MVN	2020-2024 AAA
153	2:13.41	Jack Chiappetta		15	200 FL LCM	NE	Bluefish Swim Club	2023 NE BGSC New England Senior Championship	2020-2024 AAA
156	2:13.44	William Titley		15	200 FL LCM	SN	Wolverine Aquatics	2023 SN Long Course Championships ‘The Bill Rose Classic’	2020-2024 AAA
157	2:13.51	Lucas Soniat		15	200 FL LCM	NC	Life Time North Carolina	2023 NC NCS LC SR Champs (STAR2)	2020-2024 AAA
158	2:13.59	Alex Chehebar		15	200 FL LCM	LA	swimPAC	2023 LA Louisiana Senior Long Course State Championship	2020-2024 AAA
159	2:13.63	AJ Alfeo		15	200 FL LCM	NT	Rockwall Aquatic Center of Excellence	2023 NT MTRO American Long Course	2020-2024 AAA
160	2:13.65	Samuel Nunez		15	200 FL LCM	KY	Kentucky Aquatics	2023 SE NAC Summer Sizzler	2020-2024 AAA
161	2:13.67	Luca Ignatescu		15	200 FL LCM	OR	Tualatin Hills Swim Club	2023 Futures - Sacramento, CA	2020-2024 AAA
162	2:13.68	Zack Arnold		15	200 FL LCM	MR	Badger Swim Club,Inc.	2023 MR LIAC Speedo LI Challenge	2020-2024 AAA
163	2:13.69	Tucker Bailey		15	200 FL LCM	KY	Unattached	2023 Indy Spring Cup - CAP REACHED	2020-2024 AAA
164	2:13.75	Dylan Fisk		15	200 FL LCM	PN	Bellingham Bay Swim Team	2023 PN Senior Long Course Champs	2020-2024 AAA
165	2:13.78	Brayden Savas		15	200 FL LCM	MR	Three Village Swim Club	2023 NI Eastern Zone Senior Championships	2020-2024 AAA
166	2:13.83	Joey Milhomens		15	200 FL LCM	CT	Cheshire Y Sea Dog Swim Club	2023 NC YMCA Long Course Nationals	2020-2024 AAA
167	2:13.86	Turner Mitten		15	200 FL LCM	FL	Sarasota Sharks	2023 FL Sarasota Shark Open	2020-2024 AAA
168	2:13.90	Grant Golembiewski		15	200 FL LCM	PV	Occoquan Swimming Inc	2023 PV LC 13&O Championships	2020-2024 AAA
169	2:13.91	Parker Chan		15	200 FL LCM	IL	FMC Aquatic	2023 IL FMC Spring Into Season LC Swim Meet	2020-2024 AAA
170	2:13.97	Diego Cotero Tapia	Yes	15	200 FL LCM	IN	Donner Swim Club	2023 IN Senior State LCM Championships	2020-2024 AAA
171	2:14.06	Vyron Domingo		15	200 FL LCM	PN	West Coast Aquatics	2023 PN Senior Long Course Champs	2020-2024 AAA
172	2:14.09	Nathan Fedke		15	200 FL LCM	GA	SwimAtlanta	2023 GA Long Course Senior State	2020-2024 AAA
173	2:14.25	Biko Hooper-Haviland		15	200 FL LCM	IL	Chicago Wolfpack Aquatic Club	2023 WI MAC LC MIDWEST INVITATIONAL	2020-2024 AAA
174	2:14.28	Henry Paterson		15	200 FL LCM	MA	York YMCA	2023 NC YMCA Long Course Nationals	2020-2024 AAA
175	2:14.30	Asher Johnson	Yes	15	200 FL LCM	SE	McCallie / GPS Aquatics	2023 FG Piranhas Senior Invite	2020-2024 AAA
176	2:14.42	Jackson Tishler		15	200 FL LCM	PV	Nation's Capital Swim Club	2023 VA NOVA LC Winter Invitational	2020-2024 AAA
177	2:14.47	Johnathan Feiro		15	200 FL LCM	IL	Hinsdale Swim Club	2023 MI Eric Namesnik Memorial Open	2020-2024 AAA
178	2:14.48	Jacob Phillips		15	200 FL LCM	KY	Central Kentucky Aquatic Team	2023 KY KYLSC Long Course Championships	2020-2024 AAA
179	2:14.49	Daniel Keegan		15	200 FL LCM	FL	Sarasota Tsunami Swim Team	2023 Futures - Ocala	2020-2024 AAA
180	2:14.50	David Soliman	Yes	15	200 FL LCM	NC	YMCA of the Triangle Area Swim Team	2023 FL Last Splash Invitational	2020-2024 AAA
181	2:14.52	John Gregory		15	200 FL LCM	AD	Schenectady-Saratoga Swim Club	2023 NI Eastern Zone Senior Championships	2020-2024 AAA
