Rank	Swim Time	Name	Foreign	Age	Event	LSC	Team	Meet	Time Standard
276	1:57.75r	Charlie Heisig		17	200 FR LCM	NC	SwimMAC Carolina	2023 IN CZ East Spring Speedo Sectional	2023 Futures (LCM)
277	1:57.76	Vince Coppola		17	200 FR LCM	AD	Schenectady-Saratoga Swim Club	2023 AD Adirondack Long Course Championships	2024 Futures (LCM)
277	1:57.76	Raymond Stelmark		17	200 FR LCM	NJ	Scarlet Aquatics	2023 CA CA-NV Summer Sectionals	2024 Futures (LCM)
279	1:57.77	Josh Fisher		17	200 FR LCM	IA	Ames Cyclone Aquatics Club	2023 MV CSC Summer Invitational	2023 Futures (LCM)
280	1:57.79	Nick Andrews		17	200 FR LCM	NE	Rhode Island Aquatic Club	2023 FL ISCA International Senior Cup	2023 Futures (LCM)
280	1:57.79	Charlie Green		17	200 FR LCM	SC	South Carolina Swim Club	2023 SC SCSC June Invitational	2023 Futures (LCM)
282	1:57.82	Krys Gorski		17	200 FR LCM	LE	Great Waves Aquatics	2023 OH Central Zone LC East Sectional	2023 Futures (LCM)
283	1:57.84	Gus Wiggins		17	200 FR LCM	NC	TAC Titans	2023 Futures - Ocala	2020-2024 AAA
283	1:57.84	Max Gerke		17	200 FR LCM	IA	Iowa Flyers Swim Club	2023 IA Long Course Championship Meet	2020-2024 AAA
285	1:57.85	Aaron Martin		17	200 FR LCM	AZ	Swim Neptune	2023 Futures Championships - San Antonio, TX - Cap Reached	2020-2024 AAA
285	1:57.85	Evan Mackesy		17	200 FR LCM	PV	Rockville Montgomery Swim Club	2023 PV LC Open Championships	2023 Futures (LCM)
287	1:57.86	Ryan Novak		17	200 FR LCM	CA	La Mirada Armada	2023 Futures San Antonio Time Trials	2020-2024 AAA
288	1:57.87	Jaeddan Gamilla		17	200 FR LCM	IL	Hinsdale Swim Club	2023 MI Eric Namesnik Memorial Open	2023 Futures (LCM)
288	1:57.87	Jack McLellan		17	200 FR LCM	GA	Dynamo Swim Club	2023 Futures - Ocala	2020-2024 AAA
288	1:57.87	Chase McCluskey		17	200 FR LCM	OHO	Pau Hana Swim Team	2023 OH Central Zone LC East Sectional	2023 Futures (LCM)
291	1:57.88	Blake Burnley		17	200 FR LCM	GA	SwimAtlanta	2023 GA Speedo Atlanta Classic	2023 Futures (LCM)
292	1:57.89	Jed Ritchie		17	200 FR LCM	MA	Chambersburg Chargers	2023 NC YMCA Long Course Nationals	2020-2024 AAA
292	1:57.89	Luke Kelley		17	200 FR LCM	IA	Linn-Mar Swim Team	2023 IA Long Course Championship Meet	2020-2024 AAA
292	1:57.89	Luke Fava		17	200 FR LCM	MI	Plymouth-Canton Cruisers	2023 MI Michigan Swimming Ultra LCM Championship Meet	2020-2024 AAA
295	1:57.90	Sam Calder		17	200 FR LCM	VA	Stingrays Swim Team	2023 VA SRVA Summer Invitational	2023 Futures (LCM)
295	1:57.90	Keilan Moran		17	200 FR LCM	MR	QNS Aquatic Club	2023 MR TYR Senior Mets LCM Championship	2023 Futures (LCM)
297	1:57.91	Zachary Pestrikov		17	200 FR LCM	MR	Badger Swim Club,Inc.	2023 MR TYR Senior Mets LCM Championship	2023 Futures (LCM)
297	1:57.91	Brandon Malicki		17	200 FR LCM	IN	Carmel Swim Club	2023 IN Senior State LCM Championships	2023 Futures (LCM)
299	1:57.93r	Shane Eckler		17	200 FR LCM	MA	Ridley Area YMCA Stingrays	2023 NC YMCA Long Course Nationals	2020-2024 AAA
300	1:57.94	Griffin Craig		17	200 FR LCM	OK	Bartlesville Splash Club	2023 MV CSC Region VIII Sectional Championships	2023 Futures (LCM)
301	1:57.95	Gavin Sheyda		17	200 FR LCM	CO	Pikes Peak Athletics	2023 Speedo Junior National Championships	2020-2024 AAA
302	1:57.96	Kyler Heffner		17	200 FR LCM	GA	SwimAtlanta	2023 GA Speedo Atlanta Classic	2023 Futures (LCM)
303	1:57.99	Mackey Nurkic Kacapor		17	200 FR LCM	PV	Nation's Capital Swim Club	2023 VA EZ LC Speedo Super Sectional	2023 Futures (LCM)
304	1:58.02	Matthew Sexton		17	200 FR LCM	OR	Lake Oswego Swim Club	2023 Futures - Sacramento, CA	2020-2024 AAA
304	1:58.02	Bo Zheng	Yes	17	200 FR LCM	CA	The Swim Team	2023 CA Los Angeles Invite	2023 Futures (LCM)
306	1:58.08	Jack Teasley		17	200 FR LCM	SE	Nashville Aquatic Club	2023 WV 23023 Summer Senior Showdown	2020-2024 AAA
307	1:58.09	Jordan Mowad	Yes	17	200 FR LCM	NE	Bluefish Swim Club	2023 Futures Championships - West Fargo, ND	2020-2024 AAA
308	1:58.10	Giuliano Brunetti		17	200 FR LCM	FG	Pompano Beach Piranhas	2023 FG LCM Senior Championships	2020-2024 AAA
309	1:58.11	Henry Hugele		17	200 FR LCM	GU	Cypress Fairbanks Swim Club	2023 Futures Championships - San Antonio, TX - Cap Reached	2020-2024 AAA
310	1:58.12	James Haney		17	200 FR LCM	MA	East Coast C-Cerpants	MA Chargers Early Season LC ABBC Closed Invitational	2020-2024 AAA
