Rank	Swim Time	Name	Foreign	Age	Event	LSC	Team	Meet	Time Standard
213	4:43.17	Jason Zhao		17	400 IM LCM	OHO	Mason Manta Rays	2024 IN NCSA Summer Swimming Championships	2020-2024 AAA
214	4:43.21	Dominic Hilton	Yes	17	400 IM LCM	FL	Unattached	2024 Irish Youth and Senior Summer Nationals	2020-2024 AAA
215	4:43.27	Javier Colmenares	Yes	17	400 IM LCM	FG	South Florida Aquatic Club	2024 18 & Under Spring Cup - Fort Lauderdale	2020-2024 AAA
216	4:43.33	Coleman Kimmel		17	400 IM LCM	SE	Memphis Tiger Swimming	2024 18 & Under Spring Cup - Fort Lauderdale	2020-2024 AAA
217	4:43.35	Ethan Nus		17	400 IM LCM	MR	Team Suffolk	2024 FL ISCA International Senior Cup	2020-2024 AAA
217	4:43.35	Bryson Hill		17	400 IM LCM	IE	Spokane Waves Aquatic Team	2024 CC Arena Western Zone Senior Championship	2020-2024 AAA
219	4:43.39	Zack Arnold		17	400 IM LCM	MR	Badger Swim Club,Inc.	2024 MR Senior Metropolitan Summer LC Championships	2020-2024 AAA
220	4:43.42	Leon Mikulski		17	400 IM LCM	CA	La Mirada Armada	2024 CA Speedo Grand Challenge hosted by NOVA	2020-2024 AAA
221	4:43.43	Theodore Morse		17	400 IM LCM	NE	Commonwealth Swimming	2024 AZ Speedo Sectionals	2020-2024 AAA
222	4:43.44	Alex Schwartz		17	400 IM LCM	NT	Lakeside Aquatic Club	2024 IN SSC Summer Sizzler	2020-2024 AAA
223	4:43.46	Cohen Chiam	Yes	17	400 IM LCM	FL	Bolles School Sharks	2024 FL Southern Zone South Sectional Championship	2020-2024 AAA
224	4:43.50	Stefanos Salas Salas		17	400 IM LCM	MR	Long Island Aquatic Club	2024 MR Senior Metropolitan Summer LC Championships	2020-2024 AAA
225	4:43.51	Maddax Thompson		17	400 IM LCM	OZ	Saluki Swim Club	2024 MV SPEEDO SUMMER SECTIONALS AT COLUMBIA	2020-2024 AAA
226	4:43.67	Tristan McCain		17	400 IM LCM	ST	Longhorn Aquatics	2024 ST TXLA SZ LC Sectional Champs	2020-2024 AAA
227	4:43.74	Parker Chan		17	400 IM LCM	IL	FMC Aquatic	2024 IL CZ North Section Summer Championships	2020-2024 AAA
228	4:43.78	Michael Gorey		17	400 IM LCM	IN	Carmel Swim Club	2024 Indy May Cup	2020-2024 AAA
229	4:43.80	Grant Hu		17	400 IM LCM	NT	Metroplex Aquatics	2023 NT TFA October LC Invite	2020-2024 AAA
230	4:43.84	Stuart Timmerman		17	400 IM LCM	IL	NASA Wildcat Aquatics	2024 18 & Under Spring Cup - Elkhart	2020-2024 AAA
231	4:43.87	CJ Eickhoff		17	400 IM LCM	NC	TAC Titans	2024 Futures Championships - Austin	2020-2024 AAA
232	4:43.88	Seth Graber		17	400 IM LCM	MR	Empire Swimming	2024 NI Eastern Zone Senior Championships	2020-2024 AAA
233	4:43.89	Wilson Tunila		17	400 IM LCM	CA	Swim Torrance	2024 SI Spring Speedo Sectionals CA/NV NCA	2020-2024 AAA
234	4:44.05	Luke Eskola		17	400 IM LCM	OR	Hillsboro Swim Team	2024 Futures Championships - Sacramento	2020-2024 AAA
235	4:44.08	Nathan Lindstrom		17	400 IM LCM	IL	Academy Bullets Swim Club	2024 18 & Under Spring Cup - Elkhart	2020-2024 AAA
236	4:44.12	Dante Buonadonna		17	400 IM LCM	MA	Jersey Wahoos	2024 Futures Championships - Austin	2020-2024 AAA
237	4:44.17	Noah Lang		17	400 IM LCM	AM	Team Pittsburgh Elite Aquatics	2024 WV 3rd Annual Renee McCutchan Invitational	2020-2024 AAA
238	4:44.19	Matt Strada		17	400 IM LCM	NC	North Carolina Aquatic Club	2024 CAN Bell Olympic Paralympic	2020-2024 AAA
239	4:44.28	Luke Hartman		17	400 IM LCM	AM	Team Pittsburgh Elite Aquatics	2024 WV AMS-WV LC Age Group Championship	2020-2024 AAA
240	4:44.34	Owen Howell		17	400 IM LCM	AM	Fox Chapel Killer Whales	2024 Futures Championships - Austin	2020-2024 AAA
241	4:44.38	Ty Dropic		17	400 IM LCM	OHO	Northern KY Clippers Swimming	2024 OH CZ Speedo Sectional East	2020-2024 AAA
