Rank	Swim Time	Name	Foreign	Age	Event	LSC	Team	Meet	Time Standard
282	2:13.94	Chase Zoltak		17	200 IM LCM	MI	OLY Swimming	2022 IN NCSA Summer Swimming Championship	2020-2024 AAA
282	2:13.94	Brendan Whitfield		17	200 IM LCM	VA	Lynchburg YMCA Swim Team	2022 VA LC Senior Champs	2020-2024 AAA
284	2:14.03	Aidan Faikish		17	200 IM LCM	MA	North Penn Aquatic Club	2022 MA Swimming Meet	2020-2024 AAA
285	2:14.04	Ethan Wang		17	200 IM LCM	PC	Pleasanton Seahawks	2022 PC SCSC George Haines International	2020-2024 AAA
285	2:14.04	Jes Day		17	200 IM LCM	UT	Hilltop Aquatic Swim Team	2022 SN Finals - Western Zone Senior Ch	2020-2024 AAA
287	2:14.06	Dan Bennett		17	200 IM LCM	IN	Fishers Area Swimming Tigers	2022 IN NCSA Summer Swimming Championships2	2020-2024 AAA
288	2:14.08	Trent Badrak		17	200 IM LCM	PV	Machine Aquatics	2022 AM LC Eastern Zone SR Championship	2020-2024 AAA
289	2:14.11	Danny Castle		17	200 IM LCM	IL	Patriot Aquatic Club	2022 TT Speedo Junior National Ch	2020-2024 AAA
290	2:14.12	Adam Sandid		17	200 IM LCM	MV	Wichita Swim Club	2022 MV WSC 65th Annual Air Ca	2020-2024 AAA
291	2:14.13	Liam Gilman		17	200 IM LCM	OR	Bend Swim Club	2022 PC SCSC Futures West - Time Trials	2020-2024 AAA
291	2:14.13	Evan Keogh		17	200 IM LCM	FL	Sarasota Tsunami Swim Team	2022 Speedo Junior National Ch	2020-2024 AAA
293	2:14.14	Taylor Wagner		17	200 IM LCM	CO	Pikes Peak Athletics	2022 AZ PSC Summer Invitational	2020-2024 AAA
294	2:14.17	Tyler Conner		17	200 IM LCM	IL	Academy Bullets Swim Club	2022 IN NCSA Summer Swimming Championships2	2020-2024 AAA
295	2:14.19	Peter Gilbert		17	200 IM LCM	PV	Occoquan Swimming Inc	2022 FL ISCA Summer Senior Blast	2020-2024 AAA
